Year,Rk,TeamName,Seed,AdjEM,AdjO,AdjD,AdjT,SOS-AdjEM,SOS-OppO,SOS-OppD,NCSOS-AdjEM,Tempo-Adj,Avg. Poss Length-Offense,Avg. Poss Length-Defense,Off. Efficiency-Adj,Off. Efficiency-Raw,Def. Efficiency-Adj,Def. Efficiency-Raw,Off-eFG%,Off-TO%,Off-OR%,Off-FTRate,Def-eFG%,Def-TO%,Def-OR%,Def-FTRate,AvgHgt,Experience,Bench,Continuity,Off-FT,Off-2P,Off-3P,Def-FT,Def-2P,Def-3P
2011,118,Akron,15,4.09,103.7,99.6,65.9,-1.7,102.5,104.2,-0.43,65.9,17.2,18.5,103.7,102.6,99.6,97.8,49.7,17.4,25.9,31.2,46.7,20.6,31.1,38.7,76.6,1.89,31.5,59.6,18.2,48,33.9,21.6,53.7,24.7
2011,20,Arizona,5,19.65,117.4,97.8,65.3,7.69,107.7,100,-0.36,65.3,18.4,17.4,117.4,112.7,97.8,99.7,54.1,18.8,32.5,43.6,48.6,18.6,26.8,36.6,77.2,1.48,36.2,74.1,23.1,46.3,30.6,20.3,59.3,20.3
2011,12,Brigham Young,3,23.22,117.5,94.3,70.2,7.04,106.8,99.8,3.59,70.2,14.8,18.8,117.5,112.2,94.3,94.8,51.6,15.1,29.2,38.1,46.7,20.2,26.4,33.6,77.5,1.94,26.1,55.6,22,47.2,30.8,19.8,54,26.2
2011,23,Belmont,13,18.48,112.6,94.1,68.4,-4.71,100.5,105.2,-1.05,68.4,16.1,18.4,112.6,114.2,94.1,88.9,54.1,19.8,36.1,38.2,46.1,27.5,30.7,46.2,77,1.58,44.4,80,20.6,44.2,35.2,25.4,49.4,25.2
2011,170,Boston University,16,-0.5,103.4,103.9,62.6,-4.62,100.5,105.1,0.49,62.6,18.3,19.6,103.4,102.7,103.9,100,47.3,19,31.6,37.3,46,18.2,31.2,30.2,76,1.61,28,28.1,22.3,42.6,35,18.8,49,32.3
2011,96,Bucknell,14,6.57,105.8,99.2,64.5,-3.41,102.7,106.1,1.56,64.5,18.3,17.9,105.8,105.8,99.2,96.6,50.9,17,23.4,34.1,45.4,17.9,26.4,35,76.3,2.12,27.9,73.8,20.9,49.7,29.4,21.2,48.6,30.2
2011,36,Butler,8,16.46,112.3,95.9,63.5,6.11,106.4,100.3,6.67,63.5,19.3,17.9,112.3,108.2,95.9,98.3,49.8,17,31.6,37.9,48.1,18.9,25.8,39,76.3,2.1,27.6,59.5,21.6,46.3,32.1,21.4,50.6,27.9
2011,21,Cincinnati,6,19.41,111.1,91.7,62.6,6.23,106.8,100.6,-9.35,62.6,18.9,18.6,111.1,107.1,91.7,93.3,49.4,18,36.9,38.3,45.8,22.2,29,35.4,77.5,1.82,36.8,61.3,20.6,52.1,27.4,21.3,54.1,24.6
2011,25,Clemson,12,18.16,109.6,91.5,63.9,6.99,106.7,99.7,-2.81,63.9,17.9,18.5,109.6,104,91.5,92.8,50.3,20.2,32.7,38.5,45.6,23,28.8,34.8,75.7,1.84,26.6,63.4,21.2,50.9,27.9,21.3,50.9,27.8
2011,10,Connecticut,3,23.93,115.8,91.9,64.5,12.78,110.1,97.4,-0.77,64.5,18.1,18.7,115.8,108.7,91.9,97.5,48.2,17.2,37.2,33.8,44.5,17.3,31.7,26.8,77.5,1.07,29.1,43.7,21.1,55.2,23.7,17,53.6,29.4
2011,2,Duke,1,28.42,119.7,91.3,68.6,8.43,107.3,98.9,3.48,68.6,16.4,17.6,119.7,114.8,91.3,91.9,53.7,17.3,33.3,37.4,44.5,20.9,31,29.6,77.8,2.08,29.5,58.3,20.8,50.1,29.2,17.8,60.2,22.1
2011,17,Florida,2,20.61,115.8,95.2,62.5,7.73,106.8,99.1,1.55,62.5,18.5,18.9,115.8,110,95.2,96.9,52.1,18.8,35.3,35.8,47.2,19.1,28.4,27.8,77,2.2,27.6,77,18.7,55.1,26.2,16.5,56,27.4
2011,35,Florida State,10,16.76,104.5,87.7,66.7,7.01,107.1,100.1,-1.82,66.7,16.2,18.3,104.5,99.3,87.7,89.8,49,23,34.8,38.1,42.4,22,28.9,36.3,78.7,1.51,34.8,63,20.5,52.3,27.1,22.9,43.9,33.1
2011,24,George Mason,8,18.3,114.1,95.8,64.5,2.06,105,103,0.66,64.5,18.1,19,114.1,111.7,95.8,95.7,53.2,16.9,30.6,38.6,46.6,20.4,29.4,32,76.5,1.96,28.1,80.3,20,52.5,27.5,18.9,52.7,28.4
2011,31,Georgetown,6,17.65,114.2,96.6,63.4,12.51,110.2,97.7,5.8,63.4,18.1,19.1,114.2,107.3,96.6,101.6,54.1,20.9,31.7,33.4,46.8,17.7,29.9,38,76.9,2.29,29.5,77.9,18.5,51.9,29.6,22.3,52.8,24.9
2011,63,Georgia,10,12.24,108.2,95.9,63.5,5.83,106.2,100.4,-0.69,63.5,18.9,18.1,108.2,103.6,95.9,96.8,49.4,20.2,34.5,36.6,44.8,18.4,29.4,34.7,76.5,2.22,25.5,61.2,20.5,58.8,20.6,21.3,51.9,26.8
2011,37,Gonzaga,11,16.45,112.1,95.6,66.1,3.82,106.4,102.6,4.5,66.1,16.9,18.1,112.1,110.3,95.6,96.2,52.5,19.9,34.6,41.7,47.2,20.7,25.9,35.1,77.8,1.51,38.5,63.8,23.2,54.6,22.2,20.7,46,33.3
2011,208,Hampton,16,-4.21,94.4,98.7,66.1,-10.7,97.4,108.1,-4.84,66.1,17,18.6,94.4,96.4,98.7,91.5,45.9,18.1,27.5,41.3,43.1,22.9,33.2,36.3,77,1.53,25.2,62.5,22.5,48.7,28.8,22.1,51.3,26.6
2011,18,Illinois,9,20.14,113.3,93.1,64.8,12.29,110.6,98.3,3.15,64.8,18.1,18.1,113.3,106.5,93.1,98.4,52.9,19.4,29.8,28.2,45.7,18.5,29.9,32.7,79.1,2.38,27.5,83.5,16.3,54.9,28.8,20.6,51.8,27.7
2011,108,Indiana State,14,5.45,102.8,97.4,65,3.4,105.8,102.4,2.76,65,18.2,18.6,102.8,99.8,97.4,98.6,48.8,21.3,29.3,38,46.3,19.5,27.7,45.8,77,1.68,35.2,48.7,21.7,47.4,30.9,26.2,47.3,26.5
2011,3,Kansas,1,28.38,118.9,90.6,68.4,7.75,108.2,100.5,-0.29,68.4,15.6,18.6,118.9,115.7,90.6,92.3,57,19.1,36.4,39.3,44.5,20.3,25.7,31.9,77.1,1.71,32,55.2,19,54.7,26.4,20.7,51.8,27.5
2011,32,Kansas State,5,17.42,111.1,93.6,66.4,9.23,108.5,99.3,0.73,66.4,17.9,16.9,111.1,105.6,93.6,97.1,49.6,21.6,39.7,43,47.3,22.2,28.4,45.3,77,1.53,35.7,54.7,22.2,48.9,28.8,25.4,51,23.6
2011,7,Kentucky,4,25.82,117.8,92,65,9.81,108.4,98.5,4.46,65,18.3,17.8,117.8,112.4,92,95.4,52.3,16.1,32.9,36.1,44.2,17.9,27,30.1,78.4,0.83,20.2,16.7,19.7,50.7,29.6,19.7,54.1,26.1
2011,109,LIU,15,5.43,109.6,104.2,73.3,-6.02,99.7,105.8,-5.31,73.3,15.1,16.6,109.6,109.5,104.2,98.9,51.9,20.1,37,49.7,48.3,19.9,31.1,26.2,75.1,2.05,36.4,62.1,23.6,51.2,25.2,15.2,59.5,25.3
2011,14,Louisville,4,22.26,111.4,89.2,66.8,8.77,108.3,99.5,-5.13,66.8,16.2,19.1,111.4,107.1,89.2,92.8,52.7,18.8,33.7,29.9,44.5,23.3,32.2,39.8,75.9,1.23,33.6,35.9,15.9,48.8,35.3,23.7,49.8,26.4
2011,26,Marquette,11,18.14,115.5,97.3,66.2,11.06,109.4,98.4,-5.91,66.2,17.2,18,115.5,109.7,97.3,101,51,18.2,34,44.3,49.9,20.6,31.6,28.9,77,1.12,28.7,47.7,23.2,56.2,20.6,16,53.3,30.6
2011,90,Memphis,12,6.98,104.5,97.6,67.6,2.11,104.8,102.7,-4.74,67.6,16.8,17.9,104.5,102.9,97.6,97.7,50.4,21.9,33.1,39.6,46.8,21.1,32.7,39.2,76.8,0.77,36.1,21.7,21.1,54,25,22.2,52.1,25.7
2011,30,Michigan,8,17.69,112.8,95.1,61.5,12,110.7,98.7,-1.19,61.5,19.3,19.1,112.8,106.3,95.1,100.8,52.3,16.6,23.9,26.7,48.9,19.2,27.8,30.4,77.3,1.44,19.3,46.3,15.3,47.8,36.9,17.5,52.1,30.4
2011,45,Michigan State,10,15.08,109.5,94.4,65,13.7,111,97.3,6.7,65,17.4,18.8,109.5,102.3,94.4,100.3,48.6,20.2,34,36.6,47.8,18.2,26,38.9,76.5,1.97,30.8,68.4,20.8,51,28.2,21.2,50.7,28.1
2011,42,Missouri,11,15.54,113.4,97.8,70.7,6.5,106.9,100.4,-4.76,70.7,15.4,17.8,113.4,109.3,97.8,98.6,51.5,16.9,31,34.3,49.3,24.5,34.7,40.7,76.8,1.2,37.1,56,19.7,54,26.4,22.3,54,23.7
2011,89,Morehead State,13,7.01,105.6,98.6,63.4,-2.89,102.2,105.1,2.66,63.4,19.1,18.2,105.6,105,98.6,96.5,50.4,23.2,39.9,40.4,49.2,22.7,26,37.4,75.7,2.03,18.6,52.9,21.3,52.7,26.1,20.8,46,33.2
2011,15,North Carolina,2,22.18,111.8,89.6,70.6,11.14,109.9,98.8,6.01,70.6,15.2,17.8,111.8,105.8,89.6,94.1,49.1,18.2,35.9,37.9,46.2,19.7,27.9,24.8,78.7,0.86,31.2,34.8,20.6,59.6,19.9,15,53.5,31.5
2011,119,Northern Colorado,15,4.05,106.3,102.2,66.6,-2.41,102.4,104.8,2.87,66.6,17.3,19.2,106.3,105.6,102.2,99.9,49.9,21.6,32.8,43.4,48.8,20,27.5,43.2,76.6,2,26.3,59.6,25.1,40.9,34,23.9,41.9,34.2
2011,11,Notre Dame,2,23.25,120.9,97.7,63.1,9.92,108.2,98.3,-3.83,63.1,19,17.9,120.9,114.7,97.7,100.3,53.5,16.7,31.7,45.1,46.7,15.8,26.4,25.6,78,1.82,21.2,57.5,23.4,44.6,32,16.3,52.2,31.5
2011,56,Oakland,13,13.31,118.6,105.3,71.1,2.01,106,104,14.82,71.1,16.1,17,118.6,116.9,105.3,105.6,55.8,18.5,35.4,39,49.5,16.5,29.9,31.2,76.7,2.02,27.9,51.1,20.1,51.8,28.1,18.6,55.8,25.6
2011,1,Ohio State,1,33.47,125,91.5,63.8,8.82,108.9,100,-4.08,63.8,17.1,20.1,125,119.9,91.5,93.7,56.3,15.8,34.4,37.1,48.3,23.4,25.8,20.6,77.7,2.44,18.2,59.2,18.7,51.3,30,13.6,54.9,31.5
